 ,Sample Id,R,Acquisition Time,QC Status,Dataset File,Method File,"Na KED 23/23
Helium KED_LowLow
(ppb)","Mg KED 24/24
Helium KED_LowLow
(ppb)","Al KED 27/27
Helium KED_LowLow
(ppb)","P Oshift 31/47
Oxygen DRC
(ppb)","S (34) -1 34/34
Helium KED_LowLow
(ppb)","K KED 39/39
Helium KED_LowLow
(ppb)","Ca KED 43/43
Helium KED_LowLow
(ppb)","V KED 51/51
Helium KED_LowLow
(ppb)","Cr (52) 52/52
Helium KED_LowLow
(ppb)","Cr (53) NH3 53/53
Ammonia DRC
(ppb)","Fe (54) NH3 54/54
Ammonia DRC
(ppb)","Mn Oshift 55/71
Oxygen DRC
(ppb)","Fe (56) KED 56/56
Helium KED_LowLow
(ppb)","Co KED 59/59
Helium KED_LowLow
(ppb)","Ni KED 60/60
Helium KED_LowLow
(ppb)","Cu (63) KED 63/63
Helium KED_LowLow
(ppb)","Cu (65) NH3 65/65
Ammonia DRC
(ppb)","Zn NH3 66/66
Ammonia DRC
(ppb)","As 75/75
(ppb)","As KED 75/75
Helium KED_LowLow
(ppb)","As Oshift 75/91
Oxygen DRC
(ppb)","Se (77) 77/77
(ppb)","Se (77) Oshift 77/93
Oxygen DRC
(ppb)","Se (78) Oshift 78/94
Oxygen DRC
(ppb)","Se (80) Oshift 80/96
Oxygen DRC
(ppb)","Se (82) 82/82
(ppb)","Se (82) Oshift 82/98
Oxygen DRC
(ppb)","Mo (95) NH3 95/95
Ammonia DRC
(ppb)","Mo (95) OShift 95/127
Oxygen DRC
(ppb)",Rh (IS1) 103/103 (IS),"Rh (IS2) 103/103 (IS)
Oxygen DRC","Rh (IS4) 103/103 (IS)
Ammonia DRC","Rh (IS5) 103/103 (IS)
Ammonia DRC","Rh (IS6) 103/103 (IS)
Oxygen DRC","Rh (IS7) 103/103 (IS)
Helium KED_LowLow","Cd (111) NH3 111/111
Ammonia DRC
(ppb)","Cd (114) NH3 114/114
Ammonia DRC
(ppb)","Pb 208/208
(ppb)","Pb NH3 208/208
Ammonia DRC
(ppb)"
81,10_1_21_F_10,,06/16/2023 20:19:27,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\10_1_21_F_10.730,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,7215.915,8769.548,7.273,3.731,15496.807,1938.246,35354.584,0.714,0.054,0.059,5.449,5.752,6.168,0.013,0.180,1.642,1.687,7.675,3.639,3.300,3.695,0.628,0.073,0.062,0.092,0.433,0.046,3.054,3.157,80.4%,66.1%,68.6%,71.4%,67.8%,72.2%,0.008,0.006,18.790,20.667
82,10_1_21_F_11,,06/16/2023 20:25:27,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\10_1_21_F_11.731,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,7110.057,8822.805,5.982,2.791,15956.146,1911.573,35337.431,0.736,0.091,0.100,6.868,5.024,7.494,0.014,0.193,1.578,1.676,7.273,3.683,3.332,3.847,0.484,0.091,0.085,0.078,0.345,0.046,2.918,2.962,75.3%,66.3%,68.3%,70.7%,66.9%,71.1%,0.009,0.005,0.104,0.105
83,LBLANK,,06/16/2023 20:31:27,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\LBLANK.732,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,55.354,0.728,-1.012,-0.917,447.672,60.514,39.809,-0.001,-0.007,-0.001,-0.576,-0.001,-0.266,-0.008,0.002,-0.011,-0.010,-0.230,-0.017,-0.011,-0.004,0.004,0.006,0.005,-0.012,-0.013,-0.017,-0.007,0.003,80.6%,72.1%,75.4%,76.1%,70.8%,74.5%,0.001,-0.002,-0.010,-0.004
84,CCV 1ppb TRACE,,06/16/2023 20:37:27,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\CCV 1ppb TRACE.733,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,1036.969,1078.026,1.251,0.124,1274.889,1063.154,952.925,1.058,1.071,1.104,0.958,1.015,1.123,1.025,0.974,1.059,1.065,0.857,0.933,1.026,0.988,1.065,0.978,0.968,0.959,0.991,0.901,0.974,0.994,79.2%,71.1%,73.5%,75.5%,70.5%,75.7%,0.962,0.991,1.072,1.016
85,CCV 1ppb TRACE,,06/16/2023 20:43:46,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\CCV 1ppb TRACE.734,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,1040.459,1103.928,1.193,0.109,1444.046,1062.367,1072.853,1.040,1.073,1.087,0.963,1.039,1.217,1.029,1.061,1.079,1.057,0.848,0.917,0.945,0.998,1.099,1.105,0.947,0.950,0.972,0.986,0.982,1.021,80.8%,70.6%,74.1%,76.1%,69.5%,75.2%,0.979,0.977,1.044,1.020
86,LFB,,06/16/2023 20:49:46,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\LFB.735,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,9466.654,9904.833,9.477,11.944,10401.544,9535.891,9640.566,9.591,10.078,10.063,9.793,9.950,9.266,9.741,9.437,9.702,9.829,9.773,9.801,10.032,9.739,10.624,9.898,9.917,9.983,10.321,9.944,9.526,9.809,76.2%,66.1%,70.8%,72.1%,66.4%,72.5%,9.400,9.460,9.772,9.635
87,CCV 10 ppb MAJORS,,06/16/2023 20:55:46,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\CCV 10 ppb MAJORS.736,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,9907.525,10350.979,9.957,9.377,10682.095,9945.181,10117.408,10.222,10.543,10.742,10.307,10.442,9.708,10.163,9.794,10.005,10.304,10.534,9.744,10.248,9.997,10.317,10.071,10.135,10.138,10.582,10.202,9.981,10.225,79.4%,66.4%,70.3%,72.9%,67.4%,72.8%,9.755,9.784,9.710,9.963
88,10_1_21_UF_1,,06/16/2023 21:01:46,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\10_1_21_UF_1.737,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,9565.910,6356.386,0.350,4.986,25052.541,2310.036,37921.477,0.231,0.081,0.065,0.380,17.867,1.426,0.022,0.382,0.572,0.629,12.386,2.729,2.636,2.845,0.438,0.061,0.046,0.037,0.421,0.046,17.046,17.399,76.6%,65.8%,68.4%,70.5%,66.5%,72.4%,0.011,0.005,0.022,0.030
89,10_1_21_UF_6,,06/16/2023 21:07:46,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\10_1_21_UF_6.738,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,10567.788,7987.244,0.523,3.119,20518.562,2195.158,40248.931,0.626,0.096,0.082,0.281,11.415,1.452,0.015,0.260,1.444,1.549,4.414,3.306,3.373,3.538,0.427,0.067,0.076,0.080,0.427,0.104,8.138,8.268,78.6%,65.3%,68.0%,70.9%,66.3%,69.8%,0.012,0.009,0.046,0.055
90,10_1_21_UF_8,,06/16/2023 21:13:46,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\10_1_21_UF_8.739,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,10287.442,7656.441,0.528,4.573,18040.663,2133.415,37895.780,0.809,0.165,0.161,0.886,10.322,2.010,0.017,0.219,1.294,1.368,4.395,3.836,3.893,3.983,0.526,0.081,0.077,0.074,0.468,0.069,6.998,7.159,75.1%,64.3%,68.0%,69.7%,66.4%,70.2%,0.011,0.006,0.046,0.052
91,10_1_21_UF_8_LD,,06/16/2023 21:19:45,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\10_1_21_UF_8_LD.740,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,10423.820,7773.235,1.420,7.773,17452.201,2117.371,36943.833,0.793,0.163,0.148,0.889,10.171,1.836,0.012,0.233,1.291,1.353,4.352,3.865,3.639,3.959,0.708,0.062,0.091,0.072,0.452,0.084,7.008,7.191,75.1%,64.7%,67.7%,68.3%,65.0%,70.4%,0.011,0.006,0.044,0.053
92,10_1_21_UF_8_LD,,06/16/2023 21:26:03,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\10_1_21_UF_8_LD.741,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,10273.433,7508.264,1.414,8.176,17632.898,2164.677,36960.620,0.822,0.175,0.152,0.863,10.255,1.758,0.012,0.241,1.267,1.360,4.338,3.813,3.522,3.947,0.530,0.056,0.088,0.076,0.483,0.048,6.973,7.225,74.7%,64.1%,67.6%,70.1%,64.9%,70.6%,0.012,0.008,0.046,0.051
93,10_1_21_UF_8_DUP,,06/16/2023 21:32:02,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\10_1_21_UF_8_DUP.742,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,10395.934,7712.056,0.495,5.369,17918.354,2159.086,37599.330,0.794,0.287,0.268,1.699,10.265,2.655,0.016,0.234,1.399,1.406,4.866,3.916,3.475,3.979,0.426,0.101,0.085,0.089,0.519,0.081,7.082,7.228,73.7%,63.3%,66.2%,69.0%,64.1%,68.3%,0.010,0.009,0.053,0.056
94,10_1_21_UF_8_DUP_LSP,,06/16/2023 21:38:02,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\10_1_21_UF_8_DUP_LSP.743,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,19395.307,16899.027,11.181,16.454,26417.594,12033.903,43587.290,11.095,10.666,10.760,12.718,19.530,12.655,10.179,9.692,10.906,11.106,14.119,13.152,13.397,13.356,10.714,9.898,10.203,9.980,10.944,9.791,16.392,16.567,74.5%,62.6%,65.2%,66.8%,63.2%,67.7%,9.502,9.526,9.429,9.751
95,10_1_21_UF_9,,06/16/2023 21:44:02,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\10_1_21_UF_9.744,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,9181.122,7265.097,0.091,5.486,15397.305,1878.557,34058.235,0.659,0.080,0.060,0.568,5.142,1.582,0.012,0.204,1.346,1.394,6.011,3.016,3.020,3.158,0.436,0.075,0.100,0.074,0.382,0.080,4.989,5.112,76.6%,64.0%,67.6%,68.8%,66.0%,70.6%,0.010,0.009,0.041,0.048
96,10_1_21_UF_10,,06/16/2023 21:50:03,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\10_1_21_UF_10.745,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,8285.421,8770.321,0.013,4.560,15678.324,1938.064,35826.371,0.734,0.295,0.285,1.684,5.436,2.571,0.010,0.194,1.030,1.076,5.054,3.276,3.236,3.664,0.343,0.095,0.094,0.074,0.389,0.081,3.038,3.149,81.0%,63.6%,67.5%,69.8%,64.7%,69.2%,0.007,0.004,0.058,0.064
97,10_1_21_UF_11,,06/16/2023 21:56:03,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\10_1_21_UF_11.746,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,7796.278,8747.744,-0.046,3.845,15584.536,1913.188,35413.076,0.716,0.067,0.060,1.613,4.607,2.469,0.010,0.168,0.940,1.001,5.210,3.325,3.370,3.739,0.383,0.113,0.092,0.086,0.310,0.075,2.819,2.873,79.9%,64.1%,68.0%,70.3%,64.9%,70.2%,0.007,0.004,0.046,0.055
98,LBLANK,,06/16/2023 22:02:04,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\LBLANK.747,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,55.400,2.288,-0.909,-0.869,710.768,58.875,42.022,0.000,-0.007,-0.001,-0.577,-0.001,-0.325,-0.008,0.009,-0.012,-0.010,-0.229,0.038,-0.004,0.017,0.005,0.011,0.009,-0.008,-0.040,-0.021,-0.008,0.003,80.0%,68.4%,73.4%,75.0%,68.3%,72.9%,0.001,-0.002,-0.011,-0.004
99,CCV 1ppb TRACE,,06/16/2023 22:08:04,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\CCV 1ppb TRACE.748,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,1025.646,1070.495,1.142,0.090,1758.785,1038.773,1043.263,1.047,1.065,1.100,0.956,1.013,1.000,1.034,1.032,1.068,1.082,0.838,0.940,1.003,0.983,1.185,1.106,0.996,0.963,0.933,0.989,0.971,1.014,78.8%,68.3%,71.1%,73.6%,66.5%,72.7%,0.982,0.967,1.105,1.038
100,CCV 1ppb TRACE,,06/16/2023 22:14:23,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\CCV 1ppb TRACE.749,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,1042.975,1077.137,1.095,0.055,1588.597,1046.201,1073.846,1.063,1.075,1.080,0.909,1.025,1.149,1.083,1.059,1.065,1.064,0.821,0.897,1.015,0.999,1.242,1.027,0.963,0.976,0.951,1.105,0.971,1.017,78.9%,67.6%,72.1%,79.5%,66.1%,72.2%,0.974,0.984,1.089,0.939
101,CCV 10 ppb MAJORS,,06/16/2023 22:20:23,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\CCV 10 ppb MAJORS.750,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,9730.104,10148.770,9.505,9.077,10884.674,9980.219,9967.137,10.164,10.651,10.654,10.304,10.547,9.735,10.286,9.765,10.152,10.228,10.429,9.698,9.886,10.166,10.422,10.373,10.084,9.926,10.234,10.391,9.995,10.378,76.7%,61.7%,67.7%,68.6%,62.9%,68.7%,9.770,9.810,9.875,10.187
102,10_1_21_BB,,06/16/2023 22:26:24,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\10_1_21_BB.751,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,55.155,1.224,-0.253,-0.617,692.004,58.170,43.411,0.000,0.012,0.025,0.080,0.005,0.323,-0.006,0.003,0.080,0.081,-0.031,0.023,0.007,0.006,-0.076,0.011,0.007,-0.009,-0.009,-0.016,-0.005,0.004,80.8%,68.0%,73.7%,74.6%,66.7%,74.3%,0.001,-0.002,0.020,0.026
103,10_1_21_FB,,06/16/2023 22:32:24,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\10_1_21_FB.752,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,248.281,1.270,4.348,0.324,485.977,63.786,52.528,0.002,0.047,0.057,0.477,0.041,0.658,-0.005,0.053,0.229,0.234,4.140,-0.031,0.004,0.006,0.091,0.012,0.005,-0.006,-0.016,-0.021,-0.001,0.008,79.0%,66.5%,71.8%,73.4%,65.7%,72.1%,0.001,-0.002,0.019,0.024
104,10_1_21_LAB_A,,06/16/2023 22:38:24,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\10_1_21_LAB_A.753,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,56.507,0.236,-0.210,-0.676,481.885,59.104,45.750,0.000,0.008,0.015,-0.120,0.008,-0.074,-0.007,0.007,0.084,0.078,0.126,0.062,0.000,0.001,0.004,0.012,0.011,-0.008,0.003,-0.016,-0.008,0.003,78.9%,66.1%,72.5%,73.4%,64.7%,72.2%,0.001,-0.002,0.018,0.022
105,10_1_21_LAB_B,,06/16/2023 22:44:24,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\10_1_21_LAB_B.754,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,56.751,0.760,-0.340,-0.605,356.091,54.377,42.052,0.000,0.043,0.047,-0.074,0.010,0.035,-0.007,0.008,0.093,0.091,0.089,0.054,-0.008,0.001,-0.182,0.006,0.001,-0.007,-0.035,-0.016,-0.008,0.002,79.4%,65.7%,72.3%,73.7%,64.3%,72.1%,0.001,-0.002,0.041,0.043
106,5_18_23_DB,,06/16/2023 22:50:24,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\5_18_23_DB.755,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,43769.962,12318.584,113.153,10.861,1207.671,3716.854,49307.733,1.954,1.453,1.473,42.672,3.583,39.592,1.340,1.631,0.773,0.862,5.838,2.227,2.167,2.360,4.817,2.044,1.825,1.844,1.919,2.059,1.045,1.080,70.2%,54.5%,61.1%,64.2%,54.7%,61.0%,3.267,3.202,1.302,1.269
107,5_18_23_DB,,06/16/2023 22:56:42,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\5_18_23_DB.756,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,43362.496,12410.459,108.812,11.811,961.504,3682.170,49526.375,1.845,1.400,1.420,41.841,3.573,38.854,1.357,1.555,0.745,0.859,5.795,2.286,2.109,2.317,5.083,1.929,1.877,1.853,2.186,1.940,1.056,1.092,68.5%,54.9%,62.4%,63.8%,54.6%,62.3%,3.234,3.180,1.358,1.289
108,5_18_23_T_239,,06/16/2023 23:02:42,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\5_18_23_T_239.757,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,43818.697,12401.954,112.560,12.189,1049.091,3786.427,50300.461,1.882,1.404,1.478,42.543,3.619,39.753,1.363,1.598,0.751,0.847,5.922,2.244,2.153,2.350,5.183,1.876,1.911,1.864,2.109,1.765,1.101,1.077,69.0%,54.9%,61.6%,64.9%,54.3%,61.5%,3.244,3.206,1.343,1.279
109,5_18_23_T_239,,06/16/2023 23:09:00,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\5_18_23_T_239.758,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,43638.523,12318.097,114.446,11.713,1252.488,3804.265,50684.164,1.886,1.428,1.422,41.815,3.451,39.800,1.353,1.709,0.748,0.833,5.760,2.278,2.147,2.222,5.041,1.680,1.819,1.758,2.114,1.806,1.096,1.036,68.2%,56.3%,61.9%,63.2%,54.4%,60.8%,3.223,3.183,1.348,1.305
110,5_18_23_T_239,,06/16/2023 23:15:00,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\5_18_23_T_239.759,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,4013.351,652.681,7.873,16.841,1351.560,524.874,3247.715,1.028,0.029,0.037,-0.295,5.436,-0.051,0.009,0.050,0.052,0.071,0.593,0.206,0.033,0.053,0.265,0.019,0.019,0.013,0.827,0.018,0.237,0.198,75.5%,60.9%,67.8%,73.7%,60.6%,66.0%,0.004,0.000,0.008,0.014
111,5_18_23_M_224,,06/16/2023 23:20:59,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\5_18_23_M_224.760,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,4417.085,4583.864,4.334,9.426,5249.387,4611.007,4862.572,4.813,4.976,5.129,4.742,5.042,4.437,4.856,4.676,4.938,5.063,4.912,4.923,4.764,4.819,5.973,5.051,4.585,4.778,5.345,5.013,4.809,4.942,69.4%,61.2%,68.6%,70.2%,60.9%,69.1%,4.763,4.786,5.999,5.248
112,LBLANK,,06/16/2023 23:27:00,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\LBLANK.761,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,54.997,0.765,-0.988,0.278,453.150,57.124,40.621,0.002,-0.005,-0.003,-0.579,0.000,-0.286,-0.006,-0.003,-0.013,-0.011,-0.226,0.014,-0.011,-0.001,-0.099,0.018,0.005,-0.011,-0.003,-0.011,0.015,0.003,79.9%,65.1%,72.3%,73.5%,63.1%,71.3%,0.001,-0.002,-0.011,-0.004
113,LBLANK,,06/16/2023 23:33:18,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\LBLANK.762,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,55.686,0.759,-0.998,-0.706,531.551,57.255,40.616,0.001,-0.006,-0.002,-0.578,0.000,-0.287,-0.007,-0.002,-0.014,-0.012,-0.222,0.054,-0.007,-0.003,-0.084,0.006,0.003,-0.011,-0.046,-0.021,0.008,0.002,79.0%,64.5%,76.4%,73.6%,62.7%,70.8%,0.001,-0.003,-0.010,-0.004
114,CCV 1ppb TRACE,,06/16/2023 23:39:19,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\CCV 1ppb TRACE.763,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,973.516,996.104,1.059,0.149,1343.685,993.362,1012.250,1.011,1.024,1.053,0.855,1.000,1.052,0.978,0.944,1.014,1.023,0.781,0.928,0.992,0.952,1.271,0.885,0.959,0.972,0.952,0.951,0.977,0.993,78.3%,63.9%,71.9%,73.6%,62.3%,70.6%,0.959,0.967,1.140,1.084
115,CCV 1ppb TRACE,,06/16/2023 23:45:38,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\CCV 1ppb TRACE.764,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,988.581,943.709,1.167,0.089,1565.294,990.372,1077.132,0.996,1.051,1.065,0.930,0.994,1.063,0.995,0.994,1.005,1.058,0.830,0.991,0.900,0.980,1.605,1.074,1.064,0.973,1.148,0.937,1.000,1.006,68.2%,63.5%,70.1%,72.3%,62.1%,69.8%,0.957,0.977,1.308,1.061
116,LFB,,06/16/2023 23:51:38,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\LFB.765,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,8856.551,9233.412,9.028,11.503,10225.715,8971.617,9523.136,9.416,9.845,10.014,9.684,9.763,8.711,9.404,9.300,9.561,9.770,9.810,9.094,9.608,9.681,10.037,9.486,9.629,9.936,9.618,9.876,9.650,9.854,76.6%,59.1%,65.6%,67.7%,58.8%,66.1%,9.539,9.584,9.466,10.034
117,LFB,,06/16/2023 23:57:55,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\LFB.766,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,8924.974,9503.929,9.165,11.566,10370.332,9199.315,9709.237,9.565,10.068,10.037,9.768,9.865,8.755,9.675,9.395,9.684,9.915,9.794,9.283,9.528,9.862,10.271,9.967,10.191,10.065,9.832,10.303,9.651,9.894,75.5%,59.8%,66.6%,68.6%,60.5%,66.9%,9.545,9.610,9.692,9.943
118,CCV 10 ppb MAJORS,,06/17/2023 00:03:55,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\CCV 10 ppb MAJORS.767,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,9146.481,9732.360,9.160,9.226,10290.665,9419.156,9950.624,9.838,10.224,10.396,10.111,10.221,9.372,9.912,9.504,9.871,10.103,10.216,9.893,9.259,9.908,10.924,9.476,9.800,10.023,10.283,10.538,9.915,10.212,73.9%,60.7%,67.9%,69.1%,61.1%,69.0%,9.635,9.715,10.449,10.304
119,5_18_23_MFB,,06/17/2023 00:09:55,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\5_18_23_MFB.768,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,56.675,0.236,-0.591,2.709,406.815,61.567,47.099,0.001,0.003,0.008,-0.439,0.002,-0.075,-0.007,0.001,0.066,0.065,0.062,0.051,-0.008,-0.002,0.064,0.012,0.009,-0.008,-0.040,-0.021,0.019,0.003,82.8%,66.9%,74.8%,75.5%,66.3%,73.5%,0.001,-0.002,0.008,0.014
120,10_15_21_W_1,,06/17/2023 00:15:55,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\10_15_21_W_1.769,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,2005.566,1413.440,4.265,3.735,6577.812,561.407,8786.590,0.048,0.028,0.029,11.125,5.962,10.671,0.003,0.080,0.298,0.328,0.160,0.611,0.626,0.672,0.289,0.032,0.018,0.005,0.118,-0.010,4.155,4.285,75.9%,61.4%,68.5%,71.1%,61.8%,69.7%,0.004,0.000,0.028,0.030
