 ,Sample Id,R,Acquisition Time,QC Status,Dataset File,Method File,"Na KED 23/23
Helium KED_Low
(ppb)","Mg KED 24/24
Helium KED_Low
(ppb)","Al KED 27/27
Helium KED_Low
(ppb)","P Oshift 31/47
Oxygen DRC
(ppb)","S (34) -1 34/34
Helium KED_Low
(ppb)","K KED 39/39
Helium KED_Low
(ppb)","Ca KED 43/43
Helium KED_Low
(ppb)","V KED 51/51
Helium KED_Low
(ppb)","Cr (52) 52/52
Helium KED_Low
(ppb)","Cr (53) NH3 53/53
Ammonia DRC
(ppb)","Fe (54) NH3 54/54
Ammonia DRC
(ppb)","Mn Oshift 55/71
Oxygen DRC
(ppb)","Fe (56) KED 56/56
Helium KED_Low
(ppb)","Co KED 59/59
Helium KED_Low
(ppb)","Ni KED 60/60
Helium KED_Low
(ppb)","Cu (63) KED 63/63
Helium KED_Low
(ppb)","Cu (65) NH3 65/65
Ammonia DRC
(ppb)","Zn NH3 66/66
Ammonia DRC
(ppb)","As 75/75
(ppb)","As KED 75/75
Helium KED_Low
(ppb)","As  RH Oshift 75/91
Oxygen DRC
(ppb)","As Oshift 75/91
Oxygen DRC
(ppb)","Se (77) 77/77
(ppb)","Se (77) Oshift 77/93
Oxygen DRC
(ppb)","Se (78) Oshift 78/94
Oxygen DRC
(ppb)","Se (80) Oshift 80/96
Oxygen DRC
(ppb)","Se (82) 82/82
(ppb)","Se (82) Oshift 82/98
Oxygen DRC
(ppb)","Y 89/89
(ppb)","Y (EDR) 89/89
(ppb)","Mo (95) NH3 95/95
Ammonia DRC
(ppb)","Mo (95) OShift 95/127
Oxygen DRC
(ppb)",Rh (IS1) 103/103 (IS),"Rh (IS2) 103/103 (IS)
Oxygen DRC","Rh (IS3) 103/103 (IS)
Helium KED_Low","Rh (IS4) 103/103 (IS)
Ammonia DRC","Rh (IS5) 103/103 (IS)
Ammonia DRC","Rh (IS6) 103/103 (IS)
Oxygen DRC","Rh OShift (IS1) 103/119 (IS)
Oxygen DRC","Cd (111) NH3 111/111
Ammonia DRC
(ppb)","Cd (114) NH3 114/114
Ammonia DRC
(ppb)","In 115/115
(ppb)","Pb 208/208
(ppb)","Pb NH3 208/208
Ammonia DRC
(ppb)"
81,6_21_21_W_10,R,5/15/2023 23:20,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\W10.078,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,1506.036,1557.689,19.108,5.429,3698.928,447.815,7078.529,0.274,0.03,0.029,12.632,2.939,14.014,0.011,0.047,1.831,1.669,0.763,1.026,0.973,1.242,1.013,0.203,0.008,0.009,0.017,0.045,0.015,,,0.557,0.558,98.20%,89.90%,98.30%,90.10%,90.40%,89.20%,92.90%,0.008,0.006,,0.085,0.083
82,6_21_21_W_11,R,5/15/2023 23:26,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\W11.079,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,1323.151,1490.96,16.266,5.815,2776.281,392.094,6225.86,0.265,0.013,0.02,11.946,3.033,12.075,0.007,0.052,1.062,1.058,0.586,1.027,1.004,1.293,1.046,0.16,-0.018,0.014,0.007,0.063,0.016,,,0.531,0.532,96.10%,87.00%,103.80%,88.20%,88.00%,85.80%,88.10%,0.004,0.006,,0.085,0.089
83,7_06_21_UF_1,R,5/15/2023 23:32,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\UF1.080,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,8995.722,6373.196,6.767,27.764,19280.686,1867.223,34608.85,0.483,0.061,0.062,0.568,21.941,0.971,0.031,0.365,3.814,3.819,1.95,5.203,4.582,4.952,5.356,0.307,0.027,0.036,0.043,0.287,0.047,,,12.595,12.5,94.90%,83.70%,97.90%,84.30%,85.60%,84.40%,90.50%,0.01,0.011,,0.023,0.024
84,7_06_21_UF_6,R,5/15/2023 23:37,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\UF6.081,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,10007.2,6378.407,1.146,14.407,14278.509,1874.934,31651.303,0.88,0.065,0.064,0.411,17.993,0.826,0.024,0.214,1.543,1.577,1.327,6.372,5.599,5.275,5.645,0.41,0.029,0.075,0.075,0.43,0.052,,,6.486,6.068,90.00%,88.60%,98.20%,86.10%,86.90%,86.80%,94.30%,0.016,0.017,,0.116,0.113
85,7_06_21_UF_6_DUP,R,5/15/2023 23:43,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\UF6 DUP.082,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,10498.857,6793.836,1.059,5.452,14814.276,1867.88,33416.993,0.862,0.076,0.076,0.636,18.712,1.059,0.025,0.213,1.534,1.675,1.6,5.844,5.446,5.849,5.922,0.298,0.042,0.09,0.062,0.37,0.118,,,7.047,6.312,96.10%,85.60%,95.00%,80.30%,85.40%,85.30%,85.70%,0.017,0.018,,0.114,0.122
86,UF6 DUP LD,R,5/15/2023 23:49,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\UF6 DUP LD.083,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,10287.026,6535.319,2.217,5.709,14104.551,1829.767,32768.885,0.91,0.07,0.073,0.676,21.076,1.23,0.027,0.238,1.596,1.563,1.558,5.866,5.827,5.97,6.513,0.202,0.065,0.088,0.084,0.333,0.082,,,6.561,7.116,96.70%,78.90%,95.90%,84.60%,85.50%,85.50%,85.00%,0.018,0.016,,0.119,0.132
87,UF6 DUP LD,R,5/15/2023 23:55,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\UF6 DUP LD.084,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,9711.254,6027.292,2.278,5.593,13538.171,1765.286,31608.805,0.851,0.076,0.072,0.68,18.711,1.012,0.024,0.198,1.451,1.557,1.55,5.791,5.26,5.628,5.93,0.308,0.059,0.066,0.069,0.271,0.098,,,6.555,6.392,96.30%,84.60%,100.50%,84.20%,86.00%,84.60%,88.40%,0.017,0.017,,0.12,0.13
88,UF6 DUP LSP,R,5/16/2023 0:01,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\UF6 DUP LSP.085,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,12677.895,9037.031,4.574,9.273,16259.849,4146.479,34367.285,3.583,2.7,2.636,3.095,20.916,3.518,2.617,2.913,4.071,4.09,3.757,8.164,7.686,7.84,8.229,2.604,2.793,2.627,2.521,3.265,2.468,,,8.986,8.936,94.50%,84.10%,97.10%,84.90%,77.30%,84.10%,86.10%,2.49,2.483,,2.362,2.75
89,UF6 DUP LSP,R,5/16/2023 0:07,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\UF6 DUP LSP.086,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,12744.285,8866.514,5.319,9.516,16097.59,4357.095,34527.488,3.494,2.736,2.593,3.165,20.871,3.525,2.582,2.994,4.139,4.062,3.771,8.213,7.734,7.432,8.157,2.557,2.634,2.57,2.65,3.025,2.514,,,9.026,8.774,95.90%,85.70%,98.40%,85.50%,86.40%,85.40%,91.80%,2.509,2.494,,2.34,2.458
90,LFB,R,5/16/2023 0:13,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\LFB.087,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,2942.901,2939.267,7.876,2.729,3562.668,2679.223,2636.005,2.791,2.744,2.532,2.342,2.605,2.573,2.802,3.008,2.685,2.558,2.269,2.442,2.764,2.596,2.517,2.249,2.655,2.45,2.546,2.504,2.599,,,2.538,2.506,97.90%,86.50%,94.50%,88.50%,85.40%,85.60%,89.70%,2.516,2.546,,2.265,2.44
91,7_06_21_UF_8,R,5/16/2023 0:18,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\UF8.088,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,11139.533,7090.183,1.146,10.886,12345.333,1978.029,31948.378,1.151,0.779,0.734,6.73,21.945,7.377,0.029,0.227,1.979,1.945,1.331,6.715,6.337,6.062,6.681,0.315,0.064,0.084,0.072,0.424,0.063,,,4.993,4.872,95.00%,84.80%,94.50%,84.90%,83.80%,84.00%,92.30%,0.018,0.018,,0.065,0.067
92,LBLANK,R,5/16/2023 0:24,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\LBLANK.089,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,127.259,58.09,-0.115,-0.438,1065.56,125.624,149.215,0.084,0.001,0.002,-0.097,0,0.08,0.002,0.021,-0.103,-0.104,-0.19,-0.024,0.025,0.337,0.011,0.187,-0.024,0.004,0.002,-0.016,-0.001,,,0,0.005,98.70%,89.10%,96.00%,89.60%,90.20%,87.60%,90.20%,0,0.001,,0,0
93,CCV 1ppb,R,5/16/2023 0:30,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\CCV 1ppb.090,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,1133.272,1081.63,0.726,0.609,1666.493,1074.579,1035.654,1.026,0.999,1.029,0.931,1.042,0.943,1.036,1.064,0.94,0.974,0.814,0.896,0.801,1.228,0.975,0.884,0.983,0.956,0.951,1.104,0.885,,,1.021,1.028,98.50%,87.00%,103.90%,87.70%,88.60%,86.10%,88.00%,1.01,1.001,,0.927,0.962
94,CCV 1ppb,R,5/16/2023 0:36,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\CCV 1ppb.091,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,1193.222,1161.19,0.91,0.552,1987.767,1114.195,1075.737,1.114,1.052,1.04,0.934,1.032,1.071,1.098,1.052,0.952,0.981,0.803,0.968,1.215,1.185,0.972,0.85,0.92,1.025,0.967,0.971,0.831,,,1.02,1.021,97.40%,86.90%,101.50%,88.90%,78.80%,88.10%,91.90%,1.027,0.991,,0.925,1.162
95,CCV 10 ppb,R,5/16/2023 0:42,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\CCV 10 ppb.092,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,10326.885,9884.497,9.874,10.222,10544.38,9347.668,9761.499,10.02,10.048,10.168,9.851,10.338,9.353,10.007,10.17,9.783,10.428,9.426,9.917,10.12,9.406,10.014,9.268,10.434,9.879,10.057,10.432,9.896,,,10.421,10.193,91.50%,82.30%,101.60%,83.70%,83.10%,82.90%,84.90%,10.046,10.1,,9.145,9.221
96,CCV 10 ppb,R,5/16/2023 0:48,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\CCV 10 ppb.093,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,10696.684,10283.811,10.163,10.418,10241.175,9462.016,9825.24,10.201,10.186,10.101,9.869,10.258,9.416,10.198,10.721,9.997,10.303,9.507,9.848,10.108,9.283,9.959,9.207,10.302,10.029,9.926,10.549,9.56,,,10.343,10.099,93.00%,84.10%,100.30%,84.30%,84.00%,82.10%,87.30%,10.08,10.069,,9.03,9.174
97,7_06_21_UF_9,R,5/16/2023 0:54,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\UF9.094,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,8644.051,6519.819,0.9,11.875,9423.358,1678.253,28493.135,0.966,0.065,0.062,0.446,9.397,0.891,0.02,0.165,1.506,1.461,0.824,5.04,4.607,4.873,5.044,0.308,0.047,0.071,0.069,0.348,0.029,,,3.175,3.07,95.10%,85.90%,96.10%,85.80%,86.80%,85.60%,89.00%,0.013,0.013,,0.177,0.192
98,7_06_21_UF_10,R,5/16/2023 1:00,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\UF10.095,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,8288.341,8199.401,1.19,9.389,13697.712,1943.479,33838.706,1.058,0.055,0.052,0.232,5.67,0.705,0.017,0.179,1.561,1.569,0.793,5.501,4.851,5.016,5.559,0.337,0.078,0.088,0.085,0.414,0.079,,,2.467,2.508,95.60%,82.80%,96.10%,84.70%,84.90%,84.40%,91.60%,0.015,0.015,,0.115,0.129
99,7_06_21_UF_10_SPIKE,R,5/16/2023 1:05,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\UF10 SPIKE.096,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,13988.649,13496.428,6.685,15.14,18359.298,7023.893,39104.674,6.337,5.456,5.238,5.401,10.902,5.669,5.349,5.747,6.64,6.607,5.404,10.268,10.326,9.387,10.424,5.034,5.56,5.21,5.104,5.876,4.793,,,7.753,7.599,94.00%,83.70%,97.60%,84.70%,83.70%,83.10%,90.00%,4.962,5.005,,4.601,4.903
100,UF10 SPIKE,R,5/16/2023 1:11,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\UF10 SPIKE.097,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,14500.847,14091.513,6.302,15.124,19286.841,7290.915,41137.099,6.574,5.694,5.343,5.496,10.978,6.164,5.569,5.802,7.074,6.642,5.509,10.374,10.04,9.272,10.497,4.667,5.287,5.015,5.153,5.96,4.87,,,7.879,7.672,95.10%,83.40%,94.40%,84.10%,83.90%,83.60%,91.40%,5.02,5.034,,4.506,4.89
101,7_06_21_UF_11,R,5/16/2023 1:17,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\UF11.098,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,7944.025,8157.286,1.202,6.545,13941.136,1919.459,33181.545,1.014,0.07,0.067,0.971,1.748,1.33,0.011,0.167,1.831,1.846,0.661,6.174,4.664,4.957,5.403,0.45,0.047,0.064,0.085,0.395,0.103,,,2.645,2.58,85.60%,84.60%,99.20%,84.80%,86.00%,86.60%,92.20%,0.013,0.013,,0.151,0.139
102,7_06_21_F_1,R,5/16/2023 1:23,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\F1.099,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,7195.772,5540.037,6.626,14.979,19028.882,1704.7,30789.115,0.402,0.084,0.098,7.991,20.886,8.186,0.036,0.407,1.17,1.201,0.888,5.071,4.637,4.937,5.18,0.345,0.026,0.068,0.056,0.308,0.038,,,12.298,12.101,94.60%,83.90%,99.70%,85.40%,86.10%,83.90%,88.20%,0.009,0.012,,0.048,0.051
103,7_06_21_F_6,R,5/16/2023 1:28,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\F6.100,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,8525.985,6127.746,4.201,3.709,13724.462,1777.438,31382.174,0.824,0.053,0.063,7.332,19.953,7.267,0.027,0.222,3.122,3.226,3.975,6.409,5.547,5.778,6.329,0.297,0.043,0.103,0.078,0.408,0.056,,,7.075,6.898,92.90%,83.50%,102.00%,84.00%,95.50%,84.00%,90.60%,0.018,0.019,,0.265,0.252
104,7_06_21_F_8,R,5/16/2023 1:34,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\F8.101,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,9624.357,6848.603,5.07,20.053,12250.969,1930.675,30866.745,1.127,0.056,0.06,8.752,22.762,9.071,0.033,0.188,3.638,3.789,2.268,6.949,6.42,6.445,6.925,0.272,0.032,0.092,0.087,0.364,0.059,,,5.241,5.044,94.80%,84.30%,98.20%,84.20%,85.80%,84.40%,89.00%,0.021,0.02,,0.323,0.349
105,7_06_21_F_8_SPIKE,R,5/16/2023 1:40,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\F8 SPIKE.102,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,16232.515,13116.233,10.65,27.654,18601.231,7320.326,38903.874,6.963,5.905,5.227,13.828,27.737,15.142,5.79,6.203,9.608,8.742,6.935,11.826,13.002,10.601,11.798,4.812,5.096,5.077,5.027,5.858,4.778,,,10.311,10.164,92.10%,82.00%,89.90%,84.10%,83.20%,82.60%,88.10%,4.98,5.023,,4.645,4.928
106,F8 SPIKE,R,5/16/2023 1:46,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\F8 SPIKE.103,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,16085.1,12854.817,10.141,26.45,17807.308,7205.083,38885.23,6.98,5.864,5.239,13.853,28.412,15.138,5.635,6.04,9.567,8.702,7.055,11.821,11.687,10.596,11.84,4.886,5.413,5.156,5.066,5.434,4.967,,,10.337,10.213,92.70%,82.40%,91.50%,84.50%,83.50%,86.60%,88.80%,5.003,4.986,,4.641,4.944
107,LBLANK,R,5/16/2023 1:52,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\LBLANK.104,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,126.337,59.052,-0.079,0.37,712.608,131.11,149.126,0.084,-0.002,0.004,-0.101,0.001,0.051,0.001,0.013,-0.103,-0.104,-0.193,-0.045,0.04,0.333,0.007,0.156,-0.018,-0.001,-0.005,-0.003,-0.005,,,0,0.006,98.10%,88.30%,99.90%,90.50%,91.30%,88.90%,92.50%,0,0.001,,0,0
108,CCV 1ppb,R,5/16/2023 1:57,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\CCV 1ppb.105,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,1242.06,1113.485,1.165,0.807,2078.191,1163.266,1104.28,1.109,1.078,1.036,0.951,1.06,1.082,1.103,1.058,1.011,0.99,0.789,0.89,0.997,1.237,1.001,0.878,0.961,1.013,0.989,0.931,0.944,,,1.043,1.026,100.80%,86.40%,100.60%,88.30%,99.30%,86.20%,88.80%,1.029,1.011,,0.907,0.867
109,CCV 1ppb,R,5/16/2023 2:04,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\CCV 1ppb.106,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,1243.389,1179.935,1.03,0.447,2087.988,1116.252,1145.23,1.102,1.081,1.027,0.927,1.054,1.037,1.061,1.075,1.012,0.988,0.773,0.986,1.069,1.186,0.963,1.068,1.055,0.94,0.93,0.949,0.976,,,1.029,1.013,99.30%,90.30%,104.90%,92.20%,92.30%,101.40%,94.60%,0.995,0.983,,0.897,0.946
110,CCV 10 ppb,R,5/16/2023 2:09,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\CCV 10 ppb.107,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,11139.624,10401.998,11.163,10.571,10548.442,9630.482,10141.609,10.651,10.618,10.101,9.724,10.406,9.966,10.645,10.782,10.424,10.091,9.43,10.622,10.452,9.162,10.218,10.407,10.45,9.975,9.895,11.323,9.545,,,10.267,10.146,87.20%,81.70%,96.60%,84.20%,82.00%,82.10%,88.20%,10.051,9.959,,9.719,9.259
111,CCV 10 ppb,R,5/16/2023 2:16,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\CCV 10 ppb.108,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,10521.354,10119.324,9.934,10.463,10273.332,9373.388,9250.335,10.002,10.106,10.377,9.964,9.627,9.577,10.039,10.375,9.849,10.26,9.607,9.72,9.966,8.628,9.287,8.807,9.678,9.091,9.168,10.253,9.36,,,10.48,9.359,96.30%,90.00%,103.00%,83.90%,83.40%,81.30%,94.50%,10.142,10.113,,8.433,9.121
112,7_06_21_F_9,R,5/16/2023 2:21,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\F9.109,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,7539.566,6286.983,9.649,20.252,9880.083,1597.206,29888.327,0.984,0.062,0.062,7.295,10.187,7.7,0.033,0.202,3.294,3.177,1.506,5.479,4.969,5.009,5.407,0.407,0.075,0.07,0.067,0.277,0.055,,,3.463,3.284,95.00%,84.90%,98.50%,84.60%,85.70%,84.80%,91.60%,0.016,0.017,,0.559,0.591
113,7_06_21_F_10,R,5/16/2023 2:27,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\F10.110,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,7413.557,8376.94,5.749,20.398,14313.687,1994.55,35822.287,1,0.061,0.099,6.936,6.448,5.914,0.021,0.21,3.235,4.029,1.681,5.911,5.504,5.304,5.9,0.339,0.096,0.084,0.097,0.457,0.075,,,3.328,2.618,92.10%,82.10%,97.00%,71.60%,83.30%,83.50%,90.90%,0.019,0.016,,0.344,0.367
114,7_06_21_F_10_DUP,R,5/16/2023 2:33,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\F10 DUP.111,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,7232.781,7968.86,4.271,20.361,13137.551,1948.194,34553.304,1.022,0.052,0.053,4.653,6.212,5.07,0.02,0.196,3.092,3.11,1.263,5.651,4.883,5.106,5.659,0.301,0.132,0.078,0.082,0.35,0.082,,,2.611,2.548,94.60%,84.00%,97.90%,84.70%,87.30%,82.20%,92.90%,0.016,0.015,,0.198,0.215
115,F10 DUP,R,5/16/2023 2:39,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\F10 DUP.112,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,7083.806,8098.153,3.86,20.234,13213.632,1898.914,33527.333,0.958,0.042,0.054,4.685,6.189,4.93,0.021,0.169,3.039,3.142,1.269,5.789,5.137,5.095,5.65,0.371,0.115,0.104,0.1,0.435,0.094,,,2.647,2.598,95.10%,83.90%,100.10%,85.20%,87.90%,82.90%,93.10%,0.015,0.014,,0.205,0.208
116,7_06_21_F_11 ,R,5/16/2023 2:45,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\F11 .113,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,7140.669,8407.052,4.119,16.721,14355.608,1906.302,33617.995,1,0.055,0.062,3.945,2.144,4.319,0.016,0.174,3.192,3.192,1.064,5.589,5.188,5.099,5.702,0.288,0.072,0.08,0.088,0.402,0.092,,,2.774,2.661,93.00%,82.50%,96.50%,82.20%,84.80%,83.10%,92.10%,0.013,0.015,,0.196,0.21
117,7_06_21_F_11_DUP,R,5/16/2023 2:51,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\F11 DUP.114,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,7218.52,8624.311,4.871,17.725,14693.798,1900.912,35040.82,0.989,0.05,0.058,4.926,2.391,5.351,0.015,0.208,8.064,7.882,3.13,5.64,5.199,5.124,5.589,0.344,0.13,0.092,0.088,0.373,0.072,,,2.738,2.634,94.50%,84.90%,95.70%,84.10%,84.30%,84.20%,92.30%,0.012,0.013,,0.215,0.235
118,7_06_21_F_11_F11 DUP,R,5/16/2023 2:57,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\F11 DUP.115,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,7216.73,8291.803,4.868,16.966,14085.799,1895.365,33424.037,1.023,0.062,0.058,4.715,2.645,5.09,0.014,0.167,7.753,7.844,3.136,5.343,5.041,5.613,6.159,0.259,0.042,0.092,0.082,0.238,0.097,,,2.799,2.954,99.80%,77.70%,98.90%,82.70%,84.40%,83.30%,84.50%,0.014,0.015,,0.199,0.231
119,DBLANK,R,5/16/2023 3:03,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\DBLANK.116,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,126.33,58.09,0.449,9.221,840.8,129.932,146.48,0.083,0.012,0.012,-0.053,0.003,0.012,0,0.013,0.056,0.071,-0.169,-0.028,0.01,0.329,0.003,0.172,-0.018,0.001,-0.003,0.039,0.003,,,-0.001,0.004,98.10%,85.80%,105.00%,89.90%,91.30%,86.50%,93.20%,0,0.001,,0.012,0.013
